start_time_ms, observed_ms, relative_trial_time_ms,x,y,z,rot_x,rot_y,rot_z,hmd_x,hmd_y,hmd_z,wheel_angle_degrees
1862245,1862256,11.12500000,-0.2486,1.1107,0.1163,358.8613,87.4504,98.0342,0.2815,1.2408,-0.2453,269.4392
1862245,1862267,22.25000000,-0.2504,1.1087,0.1159,356.8352,87.4212,98.0516,0.2815,1.2407,-0.2453,271.4973
1862245,1862278,33.37500000,-0.2514,1.1068,0.1158,354.9375,87.3516,98.0552,0.2815,1.2407,-0.2454,273.5255
1862245,1862289,44.50000000,-0.2526,1.1049,0.1156,352.9819,87.3251,98.0662,0.2814,1.2407,-0.2455,275.4301
1862245,1862300,55.50000000,-0.2530,1.1031,0.1153,351.0488,87.2113,98.1303,0.2814,1.2407,-0.2455,277.3863
1862245,1862311,66.62500000,-0.2540,1.1011,0.1153,349.2178,87.2615,98.1718,0.2814,1.2407,-0.2456,279.3337
1862245,1862322,77.75000000,-0.2548,1.0990,0.1148,347.3534,87.1502,98.0841,0.2813,1.2407,-0.2456,281.1558
1862245,1862333,88.87500000,-0.2567,1.0946,0.1146,343.2383,87.0349,98.0532,0.2811,1.2407,-0.2458,285.0901
1862245,1862345,100.00000000,-0.2572,1.0924,0.1143,341.3351,86.9571,98.1643,0.2810,1.2408,-0.2458,287.1413
1862245,1862356,111.12500000,-0.2572,1.0924,0.1143,341.3351,86.9571,98.1643,0.2810,1.2408,-0.2458,287.1413
1862245,1862367,122.25000000,-0.2580,1.0882,0.1142,337.2668,86.7192,98.2633,0.2809,1.2408,-0.2459,291.1238
1862245,1862378,133.25000000,-0.2586,1.0859,0.1141,335.2588,86.6667,98.1822,0.2809,1.2408,-0.2460,293.1378
1862245,1862389,144.37500000,-0.2587,1.0838,0.1143,333.2511,86.4660,98.2866,0.2808,1.2408,-0.2461,295.1382
1862245,1862400,155.50000000,-0.2587,1.0838,0.1143,333.2511,86.4660,98.2866,0.2808,1.2408,-0.2461,295.1382
1862245,1862411,166.62500000,-0.2586,1.0797,0.1141,329.4629,86.2995,98.3705,0.2807,1.2407,-0.2461,299.0594
1862245,1862422,177.75000000,-0.2588,1.0775,0.1139,327.5599,86.1502,98.3750,0.2807,1.2407,-0.2462,300.9517
1862245,1862433,188.87500000,-0.2585,1.0755,0.1136,325.7121,86.0454,98.4363,0.2807,1.2407,-0.2463,302.8576
1862245,1862445,200.00000000,-0.2584,1.0737,0.1136,323.8987,85.9310,98.4896,0.2807,1.2406,-0.2463,304.7065
1862245,1862456,211.12500000,-0.2584,1.0718,0.1135,322.0661,85.7437,98.5971,0.2807,1.2406,-0.2464,306.5206
1862245,1862467,222.12500000,-0.2582,1.0697,0.1135,320.3080,85.6589,98.6030,0.2807,1.2405,-0.2465,308.3618
1862245,1862478,233.25000000,-0.2581,1.0679,0.1134,318.5036,85.5886,98.6092,0.2807,1.2405,-0.2465,310.1134
1862245,1862489,244.37500000,-0.2578,1.0661,0.1135,316.7639,85.3626,98.8121,0.2807,1.2404,-0.2467,311.9093
1862245,1862500,255.50000000,-0.2578,1.0661,0.1135,316.7639,85.3626,98.8121,0.2807,1.2404,-0.2467,311.9093
1862245,1862511,266.62500000,-0.2574,1.0642,0.1134,314.9103,85.2676,98.7489,0.2808,1.2403,-0.2467,313.6626
1862245,1862522,277.75000000,-0.2574,1.0642,0.1134,314.9103,85.2676,98.7489,0.2808,1.2403,-0.2467,313.6626
1862245,1862533,288.87500000,-0.2564,1.0587,0.1133,310.1234,84.9003,99.0552,0.2808,1.2403,-0.2471,318.8247
1862245,1862544,299.87500000,-0.2560,1.0570,0.1131,308.4557,84.7108,99.0760,0.2808,1.2403,-0.2472,320.2845
1862245,1862556,311.00000000,-0.2555,1.0554,0.1131,307.0185,84.5499,99.2406,0.2807,1.2403,-0.2474,321.9467
1862245,1862567,322.25000000,-0.2555,1.0554,0.1131,307.0185,84.5499,99.2406,0.2807,1.2403,-0.2474,321.9467
1862245,1862578,333.37500000,-0.2547,1.0536,0.1130,305.4451,84.4348,99.3172,0.2807,1.2404,-0.2475,323.3862
1862245,1862589,344.50000000,-0.2529,1.0505,0.1132,302.1866,83.9946,99.6320,0.2806,1.2405,-0.2478,326.6507
1862245,1862600,355.62500000,-0.2520,1.0488,0.1132,300.4648,83.8716,99.6978,0.2805,1.2406,-0.2480,328.2092
1862245,1862611,366.75000000,-0.2512,1.0472,0.1133,298.7686,83.5877,99.9357,0.2804,1.2406,-0.2482,329.9177
1862245,1862622,377.87500000,-0.2498,1.0458,0.1132,297.0279,83.1787,100.2544,0.2803,1.2406,-0.2483,331.6149
1862245,1862633,388.87500000,-0.2489,1.0442,0.1135,295.3660,83.0085,100.3809,0.2803,1.2407,-0.2485,333.3621
1862245,1862645,400.00000000,-0.2479,1.0429,0.1135,293.5883,82.7023,100.6088,0.2802,1.2407,-0.2487,335.0111
1862245,1862656,411.12500000,-0.2470,1.0411,0.1129,291.8738,82.3384,100.9661,0.2802,1.2407,-0.2488,336.7815
1862245,1862667,422.25000000,-0.2470,1.0411,0.1129,291.8738,82.3384,100.9661,0.2802,1.2407,-0.2488,336.7815
1862245,1862678,433.37500000,-0.2460,1.0394,0.1132,290.1686,81.9152,101.4589,0.2801,1.2407,-0.2489,338.4948
1862245,1862689,444.50000000,-0.2450,1.0381,0.1133,288.3016,81.3503,101.8352,0.2800,1.2408,-0.2490,340.2035
1862245,1862700,455.62500000,-0.2438,1.0366,0.1126,286.6667,80.6445,102.6407,0.2799,1.2408,-0.2492,342.0639
1862245,1862711,466.62500000,-0.2413,1.0338,0.1134,283.1339,78.7802,104.3744,0.2798,1.2407,-0.2494,345.4870
1862245,1862722,477.75000000,-0.2399,1.0323,0.1129,281.4255,77.6801,105.4535,0.2798,1.2407,-0.2495,347.2610
1862245,1862733,488.87500000,-0.2399,1.0323,0.1129,281.4255,77.6801,105.4535,0.2798,1.2407,-0.2495,347.2610
1862245,1862745,500.00000000,-0.2370,1.0296,0.1133,277.8724,72.9959,110.0215,0.2797,1.2407,-0.2498,350.7628
1862245,1862756,511.12500000,-0.2370,1.0296,0.1133,277.8724,72.9959,110.0215,0.2797,1.2407,-0.2498,350.7628
1862245,1862767,522.25000000,-0.2357,1.0282,0.1126,276.2128,69.2104,113.8461,0.2796,1.2406,-0.2499,352.5947
1862245,1862778,533.37500000,-0.2341,1.0266,0.1130,274.5612,62.4783,120.4379,0.2796,1.2406,-0.2500,354.3106
1862245,1862789,544.50000000,-0.2327,1.0256,0.1131,273.1068,49.0608,133.8559,0.2795,1.2405,-0.2501,356.0631
1862245,1862800,555.50000000,-0.2312,1.0243,0.1127,272.0338,17.0948,165.7088,0.2795,1.2405,-0.2502,357.7573
1862245,1862811,566.62500000,-0.2296,1.0230,0.1129,272.1541,328.7906,213.8792,0.2794,1.2405,-0.2504,359.4974
1862245,1862822,577.75000000,-0.2279,1.0217,0.1128,273.2567,301.6772,240.9261,0.2794,1.2405,-0.2505,1.2018
1862245,1862833,588.87500000,-0.2264,1.0206,0.1128,274.7455,289.8105,252.7557,0.2794,1.2405,-0.2506,2.8489
1862245,1862845,600.00000000,-0.2248,1.0197,0.1128,276.3203,283.8345,258.6821,0.2793,1.2405,-0.2507,4.5361
1862245,1862856,611.12500000,-0.2230,1.0188,0.1127,278.0225,279.8818,262.5685,0.2792,1.2406,-0.2509,6.2025
1862245,1862867,622.25000000,-0.2211,1.0181,0.1132,279.8194,277.3249,265.0256,0.2792,1.2406,-0.2510,7.9614
1862245,1862878,633.25000000,-0.2192,1.0175,0.1130,281.5894,275.5252,266.7483,0.2791,1.2406,-0.2511,9.7896
1862245,1862889,644.37500000,-0.2173,1.0167,0.1131,283.3935,274.0974,268.1245,0.2791,1.2406,-0.2511,11.5788
1862245,1862900,655.50000000,-0.2156,1.0162,0.1137,285.2116,273.3045,268.8571,0.2790,1.2406,-0.2512,13.3955
1862245,1862911,666.62500000,-0.2136,1.0159,0.1137,287.0570,272.6563,269.4464,0.2789,1.2407,-0.2512,15.2184
1862245,1862922,677.75000000,-0.2115,1.0154,0.1138,288.9070,271.8195,270.1816,0.2788,1.2407,-0.2512,17.0667
1862245,1862933,688.87500000,-0.2099,1.0149,0.1141,290.7477,271.3405,270.6694,0.2786,1.2407,-0.2512,18.9177
1862245,1862945,700.00000000,-0.2078,1.0147,0.1141,292.6713,270.7758,271.0776,0.2785,1.2406,-0.2512,20.7584
1862245,1862956,711.12500000,-0.2057,1.0139,0.1141,294.3941,270.2702,271.5426,0.2784,1.2406,-0.2512,22.6788
